"SAINC30 Economic Profile"
"Total employment (Number of jobs)" 
"Bureau of Economic Analysis" 
"State or DC"
"GeoFips","GeoName","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018"
"01000","Alabama",2392225,2376053,2364828,2371430,2425649,2486833,2545556,2604078,2582591,2479507,2460298,2497933,2503678,2523338,2551872,2586885,2619154,2653968,2691517
"02000","Alaska",389734,394565,402187,405621,413864,421419,431320,439825,443538,442447,443904,450364,459222,461110,461327,461767,457371,456799,459178
"04000","Arizona",2801510,2829002,2847095,2917121,3041476,3219820,3375218,3465075,3402808,3228493,3181571,3239045,3295537,3371219,3448173,3548174,3646604,3751283,3859137
"05000","Arkansas",1482449,1482587,1478929,1482035,1505095,1537680,1567682,1582858,1579283,1542944,1541272,1561948,1565142,1569249,1587414,1610779,1629237,1644432,1663188
"06000","California",19228895,19341458,19358164,19478671,19784145,20126877,20505187,20888396,20654292,19837628,19642444,19986021,20666908,21319995,21997098,22686455,23165468,23610226,24218195
"08000","Colorado",2918002,2941583,2916941,2908619,2958379,3036666,3109368,3217961,3251097,3164426,3143637,3204078,3262925,3356175,3467519,3574369,3668134,3768593,3864154
"09000","Connecticut",2118177,2125253,2117734,2112290,2144331,2171980,2202108,2245720,2256043,2196161,2171933,2206269,2223221,2246561,2266029,2288017,2300054,2304746,2327354
"10000","Delaware",503458,502735,500640,504099,518103,528674,537109,544949,544911,525634,522400,530400,534261,544797,556517,568879,578596,586045,595526
"11000","District of Columbia",735304,741793,757415,754602,763470,769796,777525,788410,794912,795912,809137,826761,834413,848226,860669,873193,891451,902940,915637
"12000","Florida",8881279,8938947,9055715,9283397,9644326,10067189,10383866,10531260,10269499,9841883,9805154,10036634,10249024,10539255,10937166,11366665,11673201,12130376,12462208
"13000","Georgia",4860810,4871814,4858288,4895247,5021690,5195833,5358038,5490688,5450887,5247022,5211352,5325616,5384572,5496783,5670735,5832372,5971729,6140776,6274450
"15000","Hawaii",749439,752548,757721,773638,797263,819997,842413,864625,858402,829897,824460,835012,849156,868122,882732,901206,913190,920376,931153
"16000","Idaho",776910,783399,791311,800913,825327,861524,899832,929495,921093,880480,868718,878541,883148,902866,925519,949276,976418,1009682,1038735
"17000","Illinois",7357491,7309738,7217677,7191486,7244982,7334790,7448603,7577634,7553059,7304316,7251002,7376100,7434661,7503158,7613484,7748883,7799593,7839160,7952370
"18000","Indiana",3648148,3588944,3553215,3552205,3593283,3634815,3674399,3720040,3682931,3523018,3525335,3590196,3642334,3684125,3740428,3796375,3847261,3912817,3967404
"19000","Iowa",1915254,1902198,1879713,1873330,1902227,1933919,1965778,1994031,1997615,1959142,1950444,1975960,1993430,2019480,2038926,2059398,2066052,2066284,2087993
"20000","Kansas",1760312,1767601,1746077,1733694,1750876,1765650,1795507,1844355,1858069,1813184,1801873,1819044,1841393,1869054,1895859,1910809,1916297,1917326,1941000
"21000","Kentucky",2306481,2283616,2263430,2273325,2300593,2337821,2374830,2414908,2402591,2325249,2325921,2368202,2389363,2407562,2440072,2473302,2498410,2524927,2549975
"22000","Louisiana",2388668,2397993,2399216,2418747,2434481,2397386,2413797,2501135,2550836,2529953,2536560,2564944,2601174,2641657,2684755,2695547,2690552,2701947,2733239
"23000","Maine",784039,787577,790609,794507,807625,809353,817622,828212,823517,800501,791331,794389,796903,803641,810868,816598,826651,836117,848459
"24000","Maryland",3092125,3119857,3156648,3191309,3247756,3310820,3378396,3440607,3430882,3359485,3345423,3394831,3438880,3493921,3537654,3602938,3656163,3702196,3762122
"25000","Massachusetts",4070320,4075959,4021589,3991991,4028638,4071326,4110415,4202942,4215669,4115997,4115539,4175311,4253327,4353568,4447626,4631324,4709778,4788192,4872851
"26000","Michigan",5621494,5526201,5466159,5441706,5467568,5491738,5457450,5457408,5337644,5046501,5038194,5165348,5234473,5323762,5412041,5501054,5575128,5643225,5728602
"27000","Minnesota",3330936,3347326,3337706,3346994,3390372,3448135,3495705,3540491,3526499,3424435,3408753,3469201,3505578,3556487,3603717,3662971,3698363,3743706,3795762
"28000","Mississippi",1476295,1455992,1454774,1452904,1463644,1473716,1508314,1538802,1537431,1492290,1490731,1509941,1519719,1532583,1556753,1568187,1580050,1593678,1605827
"29000","Missouri",3470846,3451902,3437494,3444535,3478558,3533315,3586453,3636220,3625612,3522652,3475301,3506571,3528129,3565922,3596751,3654912,3700536,3742873,3779836
"30000","Montana",552690,559924,564643,571215,585514,600577,616927,635627,636171,619407,616344,623175,633135,641917,648873,660326,667552,675503,685116
"31000","Nebraska",1173756,1175112,1165989,1169200,1180180,1192178,1208025,1230935,1237365,1223177,1219802,1232457,1251258,1266477,1282745,1302888,1311043,1320856,1335240
"32000","Nevada",1254358,1285310,1299543,1353123,1441158,1533724,1604488,1643860,1619014,1512913,1478054,1501839,1519198,1561388,1608494,1664121,1723954,1782895,1843815
"33000","New Hampshire",783545,788168,788484,797648,812823,825600,835582,848001,844862,820809,813707,818789,824361,835032,844499,860597,873180,883500,894943
"34000","New Jersey",4748598,4777145,4791993,4825005,4909617,4991146,5057223,5130158,5123820,4992063,4960621,5018505,5053839,5132846,5206784,5302982,5391704,5464627,5557626
"35000","New Mexico",964919,976506,984376,1003002,1027003,1050191,1079132,1103300,1105447,1072062,1059977,1064267,1067211,1075465,1083772,1091984,1092637,1097669,1115574
"36000","New York",10424526,10438676,10348345,10377811,10513327,10654520,10810191,11082809,11197699,10984350,11005742,11294064,11432840,11619137,11865518,12099078,12258958,12408724,12692603
