"GeoFips","GeoName","2005:Q1","2005:Q2","2005:Q3","2005:Q4","2006:Q1","2006:Q2","2006:Q3","2006:Q4","2007:Q1","2007:Q2","2007:Q3","2007:Q4","2008:Q1","2008:Q2","2008:Q3","2008:Q4","2009:Q1","2009:Q2","2009:Q3","2009:Q4","2010:Q1","2010:Q2","2010:Q3","2010:Q4","2011:Q1","2011:Q2","2011:Q3","2011:Q4","2012:Q1","2012:Q2","2012:Q3","2012:Q4","2013:Q1","2013:Q2","2013:Q3","2013:Q4","2014:Q1","2014:Q2","2014:Q3","2014:Q4","2015:Q1","2015:Q2","2015:Q3","2015:Q4","2016:Q1","2016:Q2","2016:Q3","2016:Q4","2017:Q1","2017:Q2","2017:Q3","2017:Q4","2018:Q1","2018:Q2","2018:Q3","2018:Q4","2019:Q1","2019:Q2","2019:Q3","2019:Q4"
"01000","Alabama",179355.5,181373.0,181292.6,183522.6,183884.5,185071.6,185017.6,185211.9,184001.5,185320.9,186728.3,187424.6,186680.6,187756.0,186204.6,180550.5,177770.1,177663.0,178037.4,178615.2,178634.2,181222.3,184707.6,184486.8,183263.0,184220.4,185059.8,187676.1,187324.9,187603.0,185326.5,184941.5,188940.5,187987.0,188990.7,186742.3,184274.5,186770.5,188058.3,188292.7,187605.0,189727.6,190535.1,189488.8,189832.9,191008.8,190751.8,191218.7,191910.7,191899.3,192940.6,195345.0,196462.2,197698.7,199129.0,200453.8,201554.6,202432.7,203289.5,204484.3
"02000","Alaska",44760.5,45182.9,44829.0,45434.0,46682.9,48226.1,48812.8,50346.4,50707.8,51595.1,51499.7,50653.6,49447.9,48445.0,50485.3,55157.7,57196.3,56594.2,55128.7,54431.4,53116.3,54392.8,54710.3,54386.2,52798.7,53990.6,54697.9,57095.7,57042.6,58585.4,58119.2,56933.4,56263.1,54278.0,54544.0,53915.0,52932.8,53081.2,53305.9,53772.0,54326.2,53768.7,53634.9,53464.8,53531.7,52761.0,52314.6,52235.5,52406.2,52588.0,53177.0,52738.3,52638.9,52825.5,53289.1,53616.0,53856.2,54402.3,54727.1,54786.0
"04000","Arizona",255921.4,261073.7,267038.7,268210.0,274037.7,274942.9,278323.4,281849.0,282009.3,284354.6,287204.7,286059.6,283848.7,281718.6,277411.4,266929.6,258558.1,254185.1,252110.1,255469.6,252569.2,256478.2,259119.9,261771.6,260711.7,261668.8,262565.0,267899.0,267973.2,269036.3,267840.2,268305.6,269504.0,269291.8,270114.7,271685.2,271834.6,272939.5,274973.8,274960.6,277961.2,280165.1,279772.0,283019.8,284338.7,288306.4,291788.7,292487.9,295470.3,296693.1,301834.2,303625.1,307712.1,309716.9,313807.9,315585.6,318103.5,320415.8,322292.9,324915.4
"05000","Arkansas",103203.5,103855.9,104669.7,106884.1,106395.5,107870.8,107027.0,106466.6,104012.0,104804.5,105157.4,110647.4,105342.5,107095.3,106312.9,104413.4,104374.7,100814.3,101822.9,103100.7,102390.4,105671.3,107690.6,107937.6,107680.5,107986.7,108225.1,109289.4,109885.7,109333.7,108271.8,107489.4,111764.7,111518.5,112248.3,111584.1,111782.6,112689.9,113228.7,114027.1,112721.8,113533.7,114586.3,114601.9,114283.1,114751.7,114285.6,114844.3,115234.6,115324.7,114851.7,115975.9,116256.2,117337.1,117606.1,117975.7,118447.2,118975.1,119815.6,120535.7
"06000","California",1959066.5,1976140.0,2004193.3,2021163.3,2069332.5,2061917.5,2072917.1,2084540.9,2076506.4,2090690.9,2107585.8,2139689.7,2104242.5,2143260.1,2136132.5,2060916.7,2051876.7,2021683.6,2012391.0,2019996.4,2039956.4,2046441.8,2051596.0,2094557.2,2087613.5,2093296.2,2086044.5,2099389.7,2128351.3,2131485.9,2143333.6,2174818.2,2175979.6,2196899.0,2228019.2,2282572.8,2264782.4,2294764.7,2340202.2,2350411.0,2396326.0,2437555.5,2439686.8,2440825.2,2478530.1,2484499.7,2510596.8,2530175.1,2557629.3,2592698.4,2624367.1,2668034.2,2681388.1,2720177.3,2732524.9,2752513.7,2771273.1,2784467.2,2798677.2,2813699.0
"08000","Colorado",249467.8,250972.5,252697.5,250220.8,255571.0,254130.1,257421.7,257374.5,258827.4,262964.8,265471.8,271044.1,267228.7,269341.2,268907.9,265375.0,264524.2,260203.4,262000.8,262790.9,261501.9,262484.5,265239.9,269938.0,267042.9,267947.6,268472.0,271260.6,272093.8,273699.9,273020.4,275264.0,279927.2,280218.7,283450.4,286539.2,288895.0,292794.7,297534.6,303570.0,306561.9,307933.6,310146.3,312076.7,311142.0,314133.1,319164.0,322568.0,323960.3,326787.8,332138.4,335408.4,336142.0,340405.5,342943.1,344816.3,349449.0,351997.1,354299.5,356560.8
"09000","Connecticut",240783.5,242272.3,241897.2,244988.5,252521.0,250059.3,250320.2,253424.8,261497.3,261637.9,261931.5,259449.5,269107.3,264446.7,258799.5,246534.1,249626.4,247277.6,246976.2,248282.3,246399.1,248399.9,248613.8,246430.2,240608.1,243211.1,241503.8,242755.2,243311.8,243959.9,243591.0,244341.2,242242.4,240876.3,241590.1,239615.9,234748.2,236842.8,238664.7,240881.3,242317.1,243767.8,242602.7,242955.3,243344.7,243454.6,242174.2,242202.0,241700.2,244427.9,244414.8,244187.3,244658.1,243649.8,246431.1,244964.0,247584.7,248173.3,249471.6,250045.1
"10000","Delaware",59167.0,57875.9,57893.6,64957.5,61390.7,62194.5,61658.9,60743.0,61186.2,62708.3,61036.9,60009.2,59254.4,59260.6,58808.1,57302.4,60271.7,60911.2,60949.2,59484.7,60412.6,59264.3,59861.3,60526.1,61255.3,61755.4,62498.6,62560.1,63422.4,62552.0,61751.6,60177.1,58869.3,58411.2,58551.2,60796.8,61282.3,63203.3,64485.6,65026.7,66038.2,67344.4,65301.7,64820.0,63003.4,63279.8,62991.3,63160.5,63433.8,62304.6,62949.7,62272.2,62374.5,62472.7,63317.3,62894.5,62978.8,63260.6,63260.0,63621.5
"11000","District of Columbia",99815.7,100085.8,100021.1,99896.0,100122.0,99912.7,101192.5,99741.3,101292.3,101644.4,104538.5,104350.7,106495.7,106608.3,107143.5,106739.7,105562.8,106663.0,106257.6,106921.9,108312.4,110134.3,110255.4,111154.2,111370.3,111986.9,112280.0,112396.0,112328.4,113147.6,112950.7,112519.1,112898.4,112266.7,112189.4,113357.0,114063.1,114464.7,115232.1,115882.0,116879.2,117764.2,117131.6,117178.8,119227.5,119635.7,119253.7,120152.5,120128.8,120110.1,122352.1,121454.0,123158.5,123322.0,124728.4,124717.7,125066.8,125722.9,126168.3,126783.9
"12000","Florida",793185.8,799832.4,816814.9,815521.3,830312.7,832427.0,833259.7,841384.1,833104.3,835156.2,839745.1,835462.9,820498.6,815069.0,802454.9,774848.9,763424.0,755566.5,752552.1,761513.7,756728.2,764461.8,770716.8,772890.1,760838.6,767269.8,760636.3,766238.7,768639.4,766435.8,772377.0,769784.2,779659.6,779318.9,785557.5,791824.3,791516.7,801526.1,810370.3,817699.0,824013.8,836876.2,843978.0,851629.3,851347.2,862529.6,873844.1,879203.0,887055.2,891391.2,897512.2,908509.5,916712.7,920208.6,930598.2,931973.7,942840.3,947560.9,953208.6,959426.6
