"Table 2.3.1. Percent Change From Preceding Period in Real Personal Consumption Expenditures by Major Type of Product"
"[Percent] Seasonally adjusted at annual rates" 
"Bureau of Economic Analysis" 
"Last Revised on: March 26, 2020 - Next Release Date April 29, 2020"
"Line","","2000","2000","2000","2000","2001","2001","2001","2001","2002","2002","2002","2002","2003","2003","2003","2003","2004","2004","2004","2004","2005","2005","2005","2005","2006","2006","2006","2006","2007","2007","2007","2007","2008","2008","2008","2008","2009","2009","2009","2009","2010","2010","2010","2010","2011","2011","2011","2011","2012","2012","2012","2012","2013","2013","2013","2013","2014","2014","2014","2014","2015","2015","2015","2015","2016","2016","2016","2016"
"Line","","Q1","Q2","Q3","Q4","Q1","Q2","Q3","Q4","Q1","Q2","Q3","Q4","Q1","Q2","Q3","Q4","Q1","Q2","Q3","Q4","Q1","Q2","Q3","Q4","Q1","Q2","Q3","Q4","Q1","Q2","Q3","Q4","Q1","Q2","Q3","Q4","Q1","Q2","Q3","Q4","Q1","Q2","Q3","Q4","Q1","Q2","Q3","Q4","Q1","Q2","Q3","Q4","Q1","Q2","Q3","Q4","Q1","Q2","Q3","Q4","Q1","Q2","Q3","Q4","Q1","Q2","Q3","Q4"
"1","        Personal consumption expenditures (PCE)",6.3,3.9,4.0,3.5,1.6,0.9,1.4,6.1,1.2,2.1,2.9,2.3,1.9,4.6,6.0,2.7,3.6,2.5,4.5,4.4,2.4,4.6,3.9,1.2,4.5,2.0,2.4,3.9,2.3,0.7,2.3,1.1,-1.1,0.6,-3.0,-3.7,-0.9,-1.6,2.8,-0.6,2.0,3.2,2.8,2.7,1.7,0.9,1.6,0.7,3.3,0.6,0.7,1.8,2.1,0.3,1.6,3.5,1.6,4.4,4.4,4.9,3.4,3.2,3.1,1.8,3.2,2.9,2.6,2.5
"2","Goods",6.1,2.1,4.2,3.5,0.9,1.1,2.9,15.2,-0.7,1.1,5.0,1.6,2.2,9.0,11.7,3.6,4.6,1.4,5.7,5.5,3.1,6.0,3.9,-0.8,8.5,0.6,3.6,5.7,2.8,0.9,2.5,0.8,-6.4,-0.6,-8.1,-11.6,0.1,-2.5,7.2,-2.1,3.0,5.6,3.0,5.7,2.0,-1.5,0.1,2.9,5.2,-0.1,1.8,2.9,7.1,0.3,2.9,3.8,2.7,7.4,4.7,5.5,4.5,4.5,4.6,1.5,4.2,4.5,4.0,1.9
"3","    Durable goods",24.3,-7.2,7.0,2.8,6.7,-0.3,4.7,37.7,-4.3,2.5,12.5,-3.6,0.4,19.4,18.9,5.9,7.2,1.0,10.7,7.8,1.9,11.1,8.1,-11.4,16.9,0.2,5.9,5.8,5.5,4.3,5.0,3.0,-12.3,-2.8,-12.8,-26.3,0.7,-2.9,20.9,-9.1,5.0,13.2,6.4,11.7,3.5,-2.8,3.6,9.9,10.1,0.8,5.3,9.4,10.7,1.8,3.4,4.4,6.5,15.2,7.5,7.8,6.9,8.9,5.3,2.3,5.8,7.0,10.8,5.8
"4","        Motor vehicles and parts",38.5,-25.8,7.4,1.2,11.6,-6.5,4.9,75.6,-24.6,-1.4,28.4,-18.0,-2.8,17.7,13.0,-4.5,2.7,-7.8,12.3,8.0,-14.2,11.4,11.1,-41.6,14.4,1.1,7.2,-0.2,4.4,0.5,-2.0,2.4,-19.6,-14.2,-19.2,-39.4,10.1,3.1,53.7,-32.4,-3.9,26.0,9.5,19.7,-3.0,-17.6,0.9,21.3,13.8,-0.6,3.6,14.5,8.7,0.1,-3.6,0.4,8.0,17.5,5.4,6.7,9.5,13.8,-0.1,-6.7,1.7,5.7,14.1,7.2
"5","        Furnishings and durable household equipment",10.4,7.9,5.4,2.4,6.1,3.6,3.9,12.7,13.3,3.5,-0.6,7.0,-1.4,18.8,17.4,8.3,8.0,6.7,9.3,4.8,5.6,6.6,7.6,9.5,11.3,-4.7,1.9,-0.9,5.4,-2.4,1.5,-0.7,-10.0,-1.2,-15.3,-19.2,-11.1,-7.4,3.5,2.9,10.9,10.0,1.5,6.8,3.9,2.5,1.3,6.1,6.6,-3.9,1.4,5.5,9.4,5.6,10.1,4.0,3.8,20.2,7.8,8.1,7.6,9.5,10.2,7.5,8.0,6.8,8.8,3.8
"6","        Recreational goods and vehicles",27.2,5.2,10.2,8.6,6.1,11.3,8.7,20.7,14.6,5.8,5.2,8.5,7.0,22.0,29.6,17.6,11.9,11.4,13.0,10.2,19.9,16.0,7.0,11.4,26.2,4.0,9.4,18.9,8.2,11.3,16.0,8.4,-6.7,10.6,-7.2,-21.6,2.6,-7.6,13.0,8.4,7.6,9.9,7.0,9.1,11.9,8.9,7.9,8.7,9.6,5.3,9.0,9.2,16.3,2.6,7.6,4.6,7.1,10.1,10.3,7.4,2.6,2.0,9.4,9.8,15.0,14.4,11.9,8.3
"7","        Other durable goods",2.1,13.4,2.3,-2.5,-5.3,-9.3,-2.7,13.0,10.8,7.6,3.4,8.3,1.0,20.8,20.3,13.3,10.3,-1.9,4.0,7.5,13.1,8.1,2.1,15.7,15.1,-1.0,2.6,7.7,2.8,11.9,6.7,0.2,-9.3,-4.2,-5.5,-17.8,-0.7,2.5,5.7,1.3,10.5,0.4,6.5,6.9,3.0,4.1,5.2,-3.9,8.6,2.8,8.4,4.1,7.4,-1.0,3.5,13.8,6.2,11.7,7.2,10.4,7.1,8.4,4.7,4.6,-2.4,-1.4,4.7,1.2
"8","    Nondurable goods",-3.5,8.2,2.7,3.9,-2.4,1.9,1.9,3.4,1.7,0.3,0.7,4.9,3.3,3.2,7.6,2.3,3.1,1.6,2.9,4.1,3.8,3.2,1.5,5.7,4.2,0.8,2.3,5.7,1.4,-0.8,1.3,-0.3,-3.1,0.6,-5.7,-3.8,-0.1,-2.4,1.3,1.3,2.1,2.2,1.5,3.0,1.3,-0.8,-1.4,-0.1,3.0,-0.5,0.2,0.0,5.4,-0.4,2.6,3.6,0.9,3.9,3.4,4.4,3.4,2.3,4.2,1.1,3.4,3.2,0.6,0.0
