"Table 2.1. Personal Income and Its Disposition"
"[Billions of dollars] Seasonally adjusted at annual rates" 
"Bureau of Economic Analysis" 
"Last Revised on: March 26, 2020 - Next Release Date April 29, 2020"
"Line","","2000","2000","2000","2000","2001","2001","2001","2001","2002","2002","2002","2002","2003","2003","2003","2003","2004","2004","2004","2004","2005","2005","2005","2005","2006","2006","2006","2006","2007","2007","2007","2007","2008","2008","2008","2008","2009","2009","2009","2009","2010","2010","2010","2010","2011","2011","2011","2011","2012","2012","2012","2012","2013","2013","2013","2013","2014","2014","2014","2014","2015","2015","2015","2015","2016","2016","2016","2016"
"Line","","Q1","Q2","Q3","Q4","Q1","Q2","Q3","Q4","Q1","Q2","Q3","Q4","Q1","Q2","Q3","Q4","Q1","Q2","Q3","Q4","Q1","Q2","Q3","Q4","Q1","Q2","Q3","Q4","Q1","Q2","Q3","Q4","Q1","Q2","Q3","Q4","Q1","Q2","Q3","Q4","Q1","Q2","Q3","Q4","Q1","Q2","Q3","Q4","Q1","Q2","Q3","Q4","Q1","Q2","Q3","Q4","Q1","Q2","Q3","Q4","Q1","Q2","Q3","Q4","Q1","Q2","Q3","Q4"
"1","Personal income",8457.2,8591.8,8741.0,8820.4,8984.0,9013.6,9000.8,9024.0,9057.8,9148.8,9174.4,9254.8,9315.1,9417.8,9542.3,9675.1,9777.9,9953.6,10094.7,10314.1,10338.5,10505.2,10661.7,10887.6,11189.5,11324.0,11429.4,11583.9,11836.7,11977.0,12048.4,12169.1,12315.0,12642.6,12467.2,12344.0,11989.6,12083.2,12038.3,12125.3,12275.9,12492.6,12636.0,12801.9,13158.2,13267.3,13402.0,13479.5,13785.7,13946.8,13915.4,14392.6,14001.2,14135.0,14232.0,14356.2,14639.3,14890.8,15120.0,15316.8,15478.5,15685.0,15831.1,15876.4,15937.6,16029.0,16175.5,16342.6
"2","    Compensation of employees",5750.0,5792.7,5904.9,5944.7,6050.8,6041.7,6025.4,6038.6,6061.1,6129.3,6157.8,6194.2,6213.6,6307.7,6394.1,6500.8,6542.0,6669.1,6804.3,6864.8,6926.9,7006.0,7122.9,7210.6,7380.2,7428.1,7487.2,7624.0,7806.8,7845.4,7885.1,7978.2,8055.3,8054.8,8074.0,8043.8,7729.8,7761.4,7746.2,7796.7,7767.2,7910.1,7981.8,8040.7,8170.0,8206.1,8287.1,8240.4,8455.9,8503.0,8545.3,8762.6,8731.7,8818.7,8844.7,8941.7,9113.0,9171.3,9279.6,9432.5,9563.3,9667.2,9748.7,9813.4,9843.5,9900.1,9993.2,10104.5
"3","        Wages and salaries",4752.3,4780.0,4872.3,4898.9,4980.1,4962.2,4936.8,4938.6,4946.2,4998.5,5013.0,5027.5,5027.4,5101.8,5169.1,5256.5,5275.2,5381.4,5493.4,5536.4,5575.3,5638.3,5738.6,5815.4,5971.9,6012.7,6061.8,6181.4,6344.5,6370.5,6397.4,6474.6,6539.8,6532.6,6546.7,6517.9,6225.0,6253.9,6236.9,6278.6,6232.8,6360.2,6422.1,6473.3,6577.2,6607.9,6681.5,6637.1,6835.8,6875.2,6905.3,7093.6,7043.0,7102.1,7112.0,7195.6,7357.4,7408.2,7502.0,7633.3,7745.0,7830.2,7898.2,7953.3,7982.8,8032.1,8112.2,8206.9
"4","            Private industries",3987.1,4001.4,4088.4,4107.4,4178.4,4148.2,4107.9,4095.3,4091.1,4130.3,4133.2,4139.2,4126.3,4189.8,4251.4,4331.6,4338.6,4433.1,4536.7,4568.5,4597.5,4652.2,4743.0,4809.6,4957.3,4986.9,5019.8,5125.7,5272.9,5290.0,5303.9,5366.1,5415.0,5396.6,5395.6,5354.4,5062.2,5077.8,5057.9,5095.6,5047.0,5163.6,5230.8,5282.2,5384.2,5408.7,5483.8,5447.6,5637.2,5679.5,5708.5,5891.6,5836.6,5895.3,5907.2,5981.6,6135.6,6177.6,6260.5,6379.6,6481.8,6557.4,6618.1,6666.9,6688.5,6729.6,6798.1,6885.7
"5","            Government",765.2,778.6,783.8,791.5,801.8,814.0,828.9,843.3,855.1,868.2,879.8,888.4,901.2,911.9,917.8,924.9,936.6,948.3,956.6,967.9,977.8,986.1,995.5,1005.8,1014.6,1025.8,1041.9,1055.8,1071.6,1080.5,1093.6,1108.5,1124.8,1136.0,1151.2,1163.4,1162.8,1176.0,1179.0,1183.1,1185.8,1196.6,1191.3,1191.1,1193.1,1199.2,1197.6,1189.5,1198.7,1195.8,1196.8,1202.0,1206.4,1206.8,1204.8,1214.0,1221.9,1230.6,1241.5,1253.7,1263.2,1272.8,1280.1,1286.4,1294.2,1302.5,1314.1,1321.2
"6","        Supplements to wages and salaries",997.7,1012.7,1032.7,1045.8,1070.7,1079.5,1088.6,1100.0,1114.9,1130.8,1144.8,1166.6,1186.2,1205.9,1225.0,1244.3,1266.8,1287.7,1310.9,1328.4,1351.6,1367.7,1384.4,1395.2,1408.3,1415.4,1425.4,1442.6,1462.2,1474.8,1487.6,1503.6,1515.5,1522.2,1527.2,1526.0,1504.8,1507.5,1509.3,1518.1,1534.4,1549.9,1559.7,1567.4,1592.8,1598.2,1605.7,1603.3,1620.1,1627.8,1640.0,1669.0,1688.7,1716.6,1732.7,1746.2,1755.6,1763.1,1777.6,1799.2,1818.4,1837.0,1850.5,1860.0,1860.7,1868.0,1881.1,1897.5
"7","            Employer contributions for employee pension and insurance funds1",657.1,671.3,684.6,694.9,712.9,721.6,731.2,741.3,753.2,764.8,777.3,797.6,812.2,826.2,839.9,852.8,868.0,881.6,897.1,912.2,930.6,943.1,953.4,959.5,964.7,970.1,978.5,989.2,1002.5,1015.0,1026.8,1037.3,1045.8,1051.9,1054.4,1053.3,1048.8,1048.1,1051.5,1058.9,1070.3,1080.4,1088.9,1095.9,1102.0,1106.4,1109.5,1111.1,1112.1,1117.8,1128.8,1145.1,1168.4,1190.7,1205.9,1214.0,1216.1,1221.3,1229.9,1242.5,1257.0,1269.5,1278.3,1284.2,1286.5,1290.5,1298.0,1307.5
"8","            Employer contributions for government social insurance",340.6,341.4,348.1,350.8,357.8,358.0,357.4,358.7,361.6,366.0,367.5,369.0,374.0,379.8,385.0,391.4,398.8,406.1,413.9,416.2,421.1,424.6,430.9,435.6,443.6,445.3,447.0,453.3,459.7,459.8,460.9,466.3,469.7,470.4,472.8,472.7,456.0,459.4,457.8,459.2,464.1,469.5,470.8,471.5,490.8,491.8,496.2,492.2,508.0,510.0,511.2,523.9,520.4,525.9,526.8,532.1,539.5,541.8,547.7,556.7,561.4,567.5,572.2,575.8,574.2,577.5,583.1,590.0
